pdbid,pose,rmsd,head
2x00,2x00_786,3.210,-20.2710
2x00,2x00_789,6.320,-16.2120
2xbv,2xbv_866,1.610,5.1360
2xbv,2xbv_880,2.460,4.2100
2xbv,2xbv_883,3.930,5.4710
2xbv,2xbv_884,4.080,5.0180
2xbv,2xbv_984,5.430,4.3960
2xdl,2xdl_176,0.960,4.9990
2xdl,2xdl_192,1.740,5.0190
2xdl,2xdl_215,0.980,4.3000
2x00,2x00_874,4.410,3.3800
2x00,2x00_882,6.230,5.7840
2x00,2x00_889,5.600,4.2590
2x00,2x00_891,2.990,6.1520
2x00,2x00_907,0.860,10.7120
2x00,2x00_911,1.360,10.9140
2x00,2x00_929,1.700,8.3450
2x00,2x00_935,2.810,5.8690
2x00,2x00_611,2.590,-3.7630
2x00,2x00_633,3.850,-10.4310
2x00,2x00_634,2.990,0.7140
2x00,2x00_654,2.890,-13.1950
2x00,2x00_701,0.970,11.9110
2x00,2x00_705,1.230,10.4210
2x00,2x00_709,1.440,10.1190
2x00,2x00_716,2.040,10.0210
2x00,2x00_573,5.940,0.1530
2x00,2x00_576,6.290,-7.0610
2x00,2x00_583,2.370,-10.8810
2x00,2x00_586,4.690,0.5160
2x00,2x00_587,7.410,-20.2420
2x00,2x00_594,3.480,-8.3520
2x00,2x00_604,3.380,5.1660
2x00,2x00_609,1.050,4.5480
2x00,2x00_335,0.560,13.6160
2x00,2x00_345,0.830,13.0600
2x00,2x00_410,1.120,4.4300
2x00,2x00_447,2.290,-11.4100
2x00,2x00_464,1.720,-7.7650
2x00,2x00_470,2.010,-6.2920
2x00,2x00_487,1.820,-7.0690
2x00,2x00_498,3.450,-21.0390
2x00,2x00_499,1.880,-8.2940
2x00,2x00_500,4.080,-10.9470
2x00,2x00_509,6.080,-4.0880
2x00,2x00_528,6.070,-2.1800
2x00,2x00_53,0.600,10.4640
2x00,2x00_539,7.150,-2.9180
2x00,2x00_551,6.410,-1.9920
2x00,2x00_565,5.650,-6.6820
2xj7,2xj7_775,3.390,2.3070
2xj7,2xj7_777,2.610,-0.9210
2xj7,2xj7_778,2.530,-0.5520
2xj7,2xj7_780,3.420,-0.8440
2xj7,2xj7_781,2.970,-2.7370
2xj7,2xj7_782,4.640,-2.8640
2xj7,2xj7_784,3.390,-1.9830
2xj7,2xj7_786,3.850,-2.9790
2xj7,2xj7_756,2.970,-0.0520
2xj7,2xj7_758,4.080,4.8020
2xj7,2xj7_759,2.370,4.8790
2xj7,2xj7_761,2.390,5.0380
2xj7,2xj7_763,3.460,4.7780
2xj7,2xj7_766,3.190,1.9140
2xj7,2xj7_769,4.310,2.8120
2xj7,2xj7_773,2.580,-1.0000
2xj7,2xj7_58,1.160,7.3140
2xj7,2xj7_648,4.180,3.1300
2xj7,2xj7_652,4.060,4.2460
2xj7,2xj7_658,3.630,-3.1570
2xj7,2xj7_726,3.350,4.6960
2xj7,2xj7_735,3.500,2.7930
2xj7,2xj7_736,1.000,4.6940
2xj7,2xj7_755,3.000,0.3820
2xj7,2xj7_404,1.850,-6.3320
2xj7,2xj7_405,1.290,-1.2990
2xj7,2xj7_406,1.740,-2.6500
2xj7,2xj7_407,1.700,-2.9100
2xj7,2xj7_409,3.030,-6.4630
2xj7,2xj7_415,2.980,3.4580
2xj7,2xj7_421,1.740,-4.3960
2xj7,2xj7_455,4.270,5.0300
2xdl,2xdl_783,4.010,2.9360
2xdl,2xdl_788,9.370,3.6400
2xdl,2xdl_790,4.870,3.0010
2xdl,2xdl_99,1.430,5.3660
2xii,2xii_108,5.810,6.7370
2xii,2xii_131,7.060,3.8220
2xii,2xii_137,4.530,5.5410
2xii,2xii_146,0.530,8.7530
2xj7,2xj7_796,0.360,9.0100
2xj7,2xj7_812,0.400,7.3050
2xj7,2xj7_839,1.180,5.3060
2xj7,2xj7_871,1.640,4.0570
2xj7,2xj7_880,1.110,5.6890
2xj7,2xj7_888,1.420,3.4310
2xj7,2xj7_914,0.270,7.7180
2xj7,2xj7_954,0.980,6.5910
2xbv,2xbv_119,5.040,6.4220
2xbv,2xbv_124,5.670,5.7560
2xbv,2xbv_136,9.060,4.0360
2xbv,2xbv_137,6.090,6.6840
2xbv,2xbv_144,7.930,4.9780
2xbv,2xbv_154,8.480,7.0990
2xbv,2xbv_157,8.500,6.8880
2xbv,2xbv_164,7.940,6.4760
2xii,2xii_84,0.540,8.7460
2xii,2xii_968,5.780,1.0740
2xii,2xii_97,6.680,7.1080
2xj7,2xj7_118,0.520,7.3580
2xj7,2xj7_131,0.270,8.0930
2xj7,2xj7_161,0.390,7.5780
2xj7,2xj7_254,0.670,6.1200
2xj7,2xj7_401,0.960,0.0300
2xbv,2xbv_317,0.690,10.2040
2xbv,2xbv_336,6.220,6.0560
2xbv,2xbv_340,6.460,6.1130
2xbv,2xbv_344,2.750,9.1460
2xbv,2xbv_347,8.680,6.3790
2xbv,2xbv_353,5.670,7.0170
2xbv,2xbv_355,5.930,7.1700
2xbv,2xbv_364,7.710,8.0780
2xbv,2xbv_167,7.410,5.5760
2xbv,2xbv_184,0.620,8.8640
2xbv,2xbv_195,1.810,7.7840
2xbv,2xbv_198,7.070,5.8750
2xbv,2xbv_199,0.900,11.0410
2xbv,2xbv_203,0.940,6.2000
2xbv,2xbv_226,0.490,7.7870
2xbv,2xbv_23,0.860,6.6680
2xbv,2xbv_378,0.900,10.2610
2xbv,2xbv_385,7.980,7.7550
2xbv,2xbv_386,8.520,7.0640
2xbv,2xbv_389,6.030,7.0170
2xbv,2xbv_391,8.520,6.9310
2xbv,2xbv_392,1.220,8.5530
2xbv,2xbv_397,1.590,9.0730
2xbv,2xbv_399,7.650,7.3890
2xbv,2xbv_267,0.740,6.8200
2xbv,2xbv_277,0.720,6.6180
2xbv,2xbv_293,1.010,6.2180
2xbv,2xbv_302,1.500,9.7870
2xbv,2xbv_304,5.570,7.0120
2xbv,2xbv_309,6.550,6.4950
2xbv,2xbv_310,8.540,5.9670
2xbv,2xbv_316,8.100,6.0220
2xbv,2xbv_756,3.290,5.1930
2xbv,2xbv_761,7.590,-0.1840
2xbv,2xbv_762,6.510,2.1530
2xbv,2xbv_766,1.780,5.4950
2xbv,2xbv_769,6.260,2.2320
2xbv,2xbv_770,3.580,4.9300
2xbv,2xbv_771,6.360,0.9060
2xbv,2xbv_773,8.050,1.2400
2xbv,2xbv_532,2.100,-5.6190
2xbv,2xbv_559,5.520,-1.0060
2xbv,2xbv_565,5.570,-6.0530
2xbv,2xbv_746,2.910,4.8660
2xbv,2xbv_747,4.270,3.3120
2xbv,2xbv_752,3.420,4.0690
2xbv,2xbv_753,3.050,5.3640
2xbv,2xbv_754,2.950,5.5710
2xbv,2xbv_401,2.170,-18.7150
2xbv,2xbv_434,2.320,-15.6570
2xbv,2xbv_435,5.430,-29.4050
2xbv,2xbv_444,2.200,-15.0710
2xbv,2xbv_463,5.490,-19.0240
2xbv,2xbv_475,2.530,-10.9470
2xbv,2xbv_477,2.090,-17.1050
2xbv,2xbv_52,1.080,4.5220
2xbv,2xbv_777,8.350,2.0850
2xbv,2xbv_779,8.700,3.1640
2xbv,2xbv_780,7.730,2.8280
2xbv,2xbv_782,3.530,4.5490
2xbv,2xbv_784,7.770,2.4080
2xbv,2xbv_8,0.830,3.6890
2xbv,2xbv_825,1.290,6.2480
2xbv,2xbv_855,1.600,5.4080
2xnb,2xnb_159,0.940,6.6140
2xnb,2xnb_253,0.920,9.8690
2xnb,2xnb_26,0.790,9.8420
2xnb,2xnb_280,0.900,7.4160
2xnb,2xnb_291,0.890,8.6550
2xnb,2xnb_353,7.640,8.9210
2xnb,2xnb_354,1.160,10.2680
2xnb,2xnb_400,8.100,7.5640
2xnb,2xnb_403,3.540,-11.5600
2xnb,2xnb_409,2.140,-0.7320
2xnb,2xnb_428,5.990,-4.9130
2xnb,2xnb_430,2.470,-6.2260
2xnb,2xnb_434,3.950,-2.3920
2xnb,2xnb_437,2.040,-0.8050
2xnb,2xnb_441,2.900,-13.6700
2xnb,2xnb_446,7.630,2.7390
2xii,2xii_151,6.100,8.5790
2xii,2xii_185,1.010,7.2120
2xii,2xii_199,6.850,5.9840
2xii,2xii_237,0.530,9.2010
2xii,2xii_238,0.450,7.3480
2xii,2xii_252,1.340,3.1680
2xii,2xii_253,1.250,7.7870
2xii,2xii_293,0.410,8.9530
2xii,2xii_414,5.310,-21.0090
2xii,2xii_415,2.030,-6.7170
2xii,2xii_417,1.800,-20.6810
2xii,2xii_419,3.440,-15.6180
2xii,2xii_426,4.800,-22.5670
2xii,2xii_427,3.650,-9.0010
2xii,2xii_429,2.700,-25.1710
2xii,2xii_435,5.920,-18.9380
2xnb,2xnb_539,5.330,4.1510
2xnb,2xnb_545,4.870,1.5300
2xnb,2xnb_558,4.920,1.6370
2xnb,2xnb_574,8.470,7.1110
2xnb,2xnb_584,5.290,1.4040
2xnb,2xnb_586,5.510,4.9560
2xnb,2xnb_588,8.360,2.6980
2xnb,2xnb_590,6.210,1.3860
2xii,2xii_467,8.020,-3.6120
2xii,2xii_468,3.250,-4.5230
2xii,2xii_469,7.580,-5.7270
2xii,2xii_470,4.740,-13.6130
2xii,2xii_471,7.600,-4.5350
2xii,2xii_49,6.340,7.0520
2xii,2xii_492,5.230,-7.9730
2xii,2xii_494,7.670,-17.2290
2xii,2xii_355,0.760,9.5520
2xii,2xii_397,0.580,9.8830
2xii,2xii_401,0.990,4.8920
2xii,2xii_402,6.800,-13.3560
2xii,2xii_406,1.720,-0.0520
2xii,2xii_407,1.640,-9.6820
2xii,2xii_409,1.840,0.9270
2xii,2xii_413,2.710,-14.8240
2xii,2xii_496,2.510,3.7200
2xii,2xii_497,7.800,-1.4130
2xii,2xii_513,1.590,3.4950
2xii,2xii_525,3.000,-2.9540
2xii,2xii_528,3.690,-3.8630
2xii,2xii_535,3.970,2.2250
2xii,2xii_542,3.170,-0.6240
2xii,2xii_547,8.440,4.3990
2xii,2xii_550,8.340,-0.4690
2xii,2xii_552,8.560,4.2220
2xii,2xii_554,8.280,3.1350
2xii,2xii_558,2.710,-8.3830
2xii,2xii_561,2.830,2.3280
2xii,2xii_564,4.790,-8.4390
2xii,2xii_567,2.920,3.3730
2xii,2xii_570,7.970,0.5610
2xii,2xii_436,6.190,-11.8470
2xii,2xii_438,7.460,-24.1340
2xii,2xii_445,5.760,-16.9840
2xii,2xii_451,4.360,-34.6860
2xii,2xii_452,5.830,-20.6940
2xii,2xii_456,1.810,-5.9330
2xii,2xii_459,2.920,-7.8040
2xii,2xii_464,2.960,-12.2000
2xnb,2xnb_454,5.330,-7.9320
2xnb,2xnb_455,2.550,-13.3140
2xnb,2xnb_459,5.700,2.2070
2xnb,2xnb_46,1.040,9.6600
2xnb,2xnb_462,3.840,1.7820
2xnb,2xnb_463,3.580,1.6800
2xnb,2xnb_476,3.110,-3.3370
2xnb,2xnb_479,7.670,1.4010
2xnb,2xnb_481,5.010,-4.6570
2xnb,2xnb_483,3.390,-16.4160
2xnb,2xnb_484,6.950,-2.4680
2xnb,2xnb_487,2.790,-8.2370
2xnb,2xnb_488,2.390,2.4160
2xnb,2xnb_499,4.120,-11.8480
2xnb,2xnb_517,7.320,2.8210
2xnb,2xnb_538,8.300,-0.7090
2xnb,2xnb_592,4.050,-0.5700
2xnb,2xnb_593,2.910,0.0760
2xnb,2xnb_596,3.580,1.1530
2xnb,2xnb_610,6.100,-6.7940
2xnb,2xnb_627,6.580,-3.6260
2xnb,2xnb_633,7.380,-7.6520
2xnb,2xnb_653,8.070,-4.1840
2xnb,2xnb_663,5.210,-6.6890
2xnb,2xnb_937,6.380,5.0820
2xnb,2xnb_939,0.940,9.0070
2xys,2xys_114,0.780,7.9740
2xys,2xys_127,0.460,8.8950
2xys,2xys_398,0.440,10.6100
2xys,2xys_410,1.000,8.1880
2xys,2xys_414,0.950,2.5360
2xys,2xys_417,0.880,3.4330
2xii,2xii_661,7.630,-2.2820
2xii,2xii_665,4.520,0.3600
2xii,2xii_674,7.400,-2.0390
2xii,2xii_683,3.620,-10.0350
2xii,2xii_688,8.480,-2.4150
2xii,2xii_69,6.200,6.8760
2xii,2xii_696,5.650,-6.0510
2xii,2xii_705,6.480,0.7510
2xii,2xii_576,3.150,1.9390
2xii,2xii_584,7.250,-5.1380
2xii,2xii_586,9.250,-1.7240
2xii,2xii_593,4.780,0.5730
2xii,2xii_594,6.170,-2.3450
2xii,2xii_621,3.490,0.0230
2xii,2xii_637,5.360,-5.1530
2xii,2xii_641,4.510,-4.7870
2xnb,2xnb_674,8.440,-3.5920
2xnb,2xnb_675,4.560,-5.8650
2xnb,2xnb_69,1.130,9.2810
2xnb,2xnb_694,7.030,2.4000
2xnb,2xnb_707,5.540,8.0260
2xnb,2xnb_709,2.090,6.1140
2xnb,2xnb_717,7.780,3.3890
2xnb,2xnb_718,3.830,7.6890
2xnb,2xnb_723,6.800,4.7180
2xnb,2xnb_724,4.970,0.0660
2xnb,2xnb_726,7.370,7.4030
2xnb,2xnb_728,5.200,3.9290
2xnb,2xnb_729,4.520,6.7480
2xnb,2xnb_73,8.230,4.7350
2xnb,2xnb_730,6.240,5.0310
2xnb,2xnb_733,6.390,5.7500
2xys,2xys_420,0.960,8.4960
2xys,2xys_424,4.000,3.2410
2xys,2xys_443,2.020,5.9490
2xys,2xys_491,5.420,-4.2920
2xys,2xys_494,2.840,-7.8340
2xys,2xys_499,1.730,-0.2680
2xys,2xys_533,1.730,2.6840
2xys,2xys_541,1.580,-15.6170
2xys,2xys_598,2.930,0.4590
2xys,2xys_600,5.610,-7.2540
2xys,2xys_610,8.060,-4.7350
2xys,2xys_616,8.200,0.9640
2xys,2xys_620,1.870,2.8750
2xys,2xys_622,2.520,-5.1450
2xys,2xys_623,7.900,-3.2490
2xys,2xys_630,4.550,-2.1990
2xnb,2xnb_734,7.820,4.1720
2xnb,2xnb_735,8.050,3.5890
2xnb,2xnb_737,8.500,3.4910
2xnb,2xnb_738,4.430,5.8700
2xnb,2xnb_751,0.630,9.1540
2xnb,2xnb_770,1.550,9.3010
2xnb,2xnb_782,4.500,6.9230
2xnb,2xnb_787,6.960,2.4900
2xii,2xii_715,0.960,3.4030
2xii,2xii_729,1.930,5.2500
2xii,2xii_757,4.440,5.7070
2xii,2xii_760,6.710,5.5270
2xii,2xii_762,4.250,4.7840
2xii,2xii_763,0.880,7.5720
2xii,2xii_765,3.620,5.5440
2xii,2xii_822,5.040,3.1600
2xys,2xys_554,5.310,-7.2720
2xys,2xys_567,3.120,3.8980
2xys,2xys_572,5.040,-5.1760
2xys,2xys_573,3.960,0.5320
2xys,2xys_577,3.820,1.3970
2xys,2xys_578,8.420,-3.6500
2xys,2xys_580,4.890,-7.9690
2xys,2xys_581,5.400,-4.0310
2xys,2xys_659,5.440,1.3260
2xys,2xys_662,1.570,-9.9940
2xys,2xys_667,2.530,-3.9370
2xys,2xys_675,7.570,-2.8090
2xys,2xys_681,2.350,-4.1500
2xys,2xys_688,5.780,-5.7880
2xys,2xys_690,3.510,-0.4970
2xys,2xys_695,1.830,3.7210
2xnb,2xnb_795,8.070,5.5490
2xnb,2xnb_812,3.360,7.9160
2xnb,2xnb_818,7.930,6.4080
2xnb,2xnb_827,3.470,7.6060
2xnb,2xnb_833,4.270,6.0470
2xnb,2xnb_841,1.280,8.9540
2xnb,2xnb_846,0.960,9.9810
2xnb,2xnb_855,1.910,8.6360
2xys,2xys_703,1.390,10.1200
2xys,2xys_707,0.580,9.6820
2xys,2xys_725,1.610,7.0430
2xys,2xys_735,4.140,-0.1360
2xys,2xys_737,4.160,7.8900
2xys,2xys_742,4.310,1.8000
2xys,2xys_743,4.270,6.1050
2xys,2xys_747,4.950,1.0330
2xys,2xys_748,8.670,0.9420
2xys,2xys_750,5.030,0.9650
2xys,2xys_759,4.410,-5.4420
2xys,2xys_760,3.850,-9.3440
2xys,2xys_763,4.710,-17.4610
2xys,2xys_782,0.420,9.0330
2xys,2xys_793,2.010,8.5220
2xys,2xys_801,1.910,8.2090
2xys,2xys_826,3.060,4.7000
2xys,2xys_831,4.200,4.5020
2xys,2xys_848,3.750,1.3270
2xys,2xys_855,3.750,1.5450
2xys,2xys_876,0.530,8.1520
2xys,2xys_927,3.530,5.5670
2xys,2xys_937,2.850,4.5000
2xys,2xys_940,1.990,7.8620
2xnb,2xnb_858,0.800,8.8650
2xnb,2xnb_896,1.950,8.1680
2xnb,2xnb_911,1.960,7.6610
2xnb,2xnb_913,1.210,8.6960
2xnb,2xnb_918,6.130,4.8980
2xnb,2xnb_923,1.890,9.2670
2xnb,2xnb_924,2.170,7.8160
2xnb,2xnb_934,0.910,9.2210
2xys,2xys_941,2.480,6.0200
2xys,2xys_953,2.950,6.4660
2y5h,2y5h_109,9.450,4.5660
2y5h,2y5h_111,7.820,4.5570
2y5h,2y5h_112,9.980,4.0800
2y5h,2y5h_116,7.750,3.7290
2y5h,2y5h_119,1.430,6.5490
2y5h,2y5h_125,8.710,4.7290
2y5h,2y5h_134,5.290,5.2520
2y5h,2y5h_137,4.760,5.2470
2y5h,2y5h_144,6.130,5.1680
2y5h,2y5h_156,6.990,4.5390
2y5h,2y5h_158,8.050,4.6460
2y5h,2y5h_162,9.860,4.3070
2y5h,2y5h_165,6.090,3.7860
2y5h,2y5h_178,8.020,4.3890
2y5h,2y5h_195,7.750,4.5670
2y5h,2y5h_196,5.320,3.7900
2y5h,2y5h_198,2.720,4.7310
2y5h,2y5h_284,0.820,5.7540
2y5h,2y5h_329,8.520,6.0830
2y5h,2y5h_342,8.940,5.7250
2y5h,2y5h_345,8.800,5.1850
2y5h,2y5h_355,8.860,5.3900
2y5h,2y5h_364,0.820,7.0480
2y5h,2y5h_387,8.030,5.7110
2y5h,2y5h_388,7.090,5.0330
2y5h,2y5h_389,0.440,7.8800
2y5h,2y5h_391,0.320,7.9880
2y5h,2y5h_394,2.200,6.3510
2y5h,2y5h_405,2.190,-26.2820
2y5h,2y5h_406,1.940,-13.3670
2y5h,2y5h_41,0.990,5.1690
2y5h,2y5h_410,7.790,-15.3060
2y5h,2y5h_413,3.420,-7.0940
2y5h,2y5h_414,2.350,-10.8470
2y5h,2y5h_416,2.390,-21.8710
2y5h,2y5h_420,2.490,-7.9120
2y5h,2y5h_422,1.880,-21.6100
2y5h,2y5h_432,5.990,-33.4280
2yfe,2yfe_115,0.800,6.4930
2yfe,2yfe_123,0.980,6.6810
2yfe,2yfe_176,0.890,6.5280
2yfe,2yfe_23,0.760,7.0770
2yfe,2yfe_232,5.160,6.9220
2yfe,2yfe_236,1.250,6.2060
2yfe,2yfe_240,1.030,5.7290
2yfe,2yfe_257,0.830,6.0360
2yfe,2yfe_552,6.470,0.6510
2yfe,2yfe_561,4.390,2.3290
2yfe,2yfe_564,1.730,3.2030
2yfe,2yfe_565,6.040,0.7970
2yfe,2yfe_572,3.830,1.4660
2yfe,2yfe_574,5.130,1.2790
2yfe,2yfe_591,5.120,-3.4120
2yfe,2yfe_597,2.420,0.2570
2yfe,2yfe_517,2.970,3.2400
2yfe,2yfe_52,0.910,6.8540
2yfe,2yfe_523,6.160,2.7140
2yfe,2yfe_53,0.730,7.1240
2yfe,2yfe_538,4.130,-0.1640
2yfe,2yfe_545,3.590,2.6210
2yfe,2yfe_547,8.160,-3.7270
2yfe,2yfe_548,4.890,5.0340
2yfe,2yfe_286,0.900,6.5730
2yfe,2yfe_4,0.780,7.0160
2yfe,2yfe_414,3.590,-4.3670
2yfe,2yfe_426,3.060,-1.0560
2yfe,2yfe_437,4.550,-9.4600
2yfe,2yfe_450,2.630,1.0450
2yfe,2yfe_453,6.550,-9.1840
2yfe,2yfe_458,4.720,-9.7210
2yfe,2yfe_599,4.700,-2.3490
2yfe,2yfe_601,7.870,-2.1350
2yfe,2yfe_603,6.150,-4.8170
2yfe,2yfe_608,7.510,-3.1120
2yfe,2yfe_618,4.860,-5.5210
2yfe,2yfe_627,8.500,-8.9170
2yfe,2yfe_637,6.800,-6.9100
2yfe,2yfe_641,5.380,-2.4620
2yfe,2yfe_489,3.010,-16.1720
2yfe,2yfe_490,1.990,2.6640
2yfe,2yfe_491,6.040,-0.7060
2yfe,2yfe_492,7.850,-2.5480
2yfe,2yfe_493,5.150,-3.0330
2yfe,2yfe_496,2.710,-7.9820
2yfe,2yfe_502,2.580,-0.3020
2yfe,2yfe_504,5.400,0.8660
2yfe,2yfe_753,7.110,3.2580
2yfe,2yfe_774,3.990,5.1070
2yfe,2yfe_784,1.900,6.2620
2yfe,2yfe_800,8.010,5.1830
2yfe,2yfe_809,8.020,5.2020
2yfe,2yfe_81,0.720,7.1810
2yfe,2yfe_813,7.990,5.2760
2yfe,2yfe_815,8.020,5.1350
2yfe,2yfe_851,3.310,5.4200
2yfe,2yfe_931,8.070,4.2760
2yfe,2yfe_943,5.000,6.3790
2yfe,2yfe_950,8.010,5.4710
2yfe,2yfe_960,1.270,6.3730
2yfe,2yfe_965,8.040,5.1700
2yfe,2yfe_969,8.100,4.7720
2yfe,2yfe_971,5.510,5.1300
2yfe,2yfe_656,7.860,-7.3930
2yfe,2yfe_657,7.420,-2.0710
2yfe,2yfe_659,1.310,-0.2000
2yfe,2yfe_660,4.850,1.8790
2yfe,2yfe_667,7.650,-3.9530
2yfe,2yfe_680,7.740,-3.3490
2yfe,2yfe_682,6.480,2.5870
2yfe,2yfe_688,7.020,-2.5430
2yfe,2yfe_694,6.460,-7.2230
2yfe,2yfe_71,1.060,6.2460
2yfe,2yfe_722,1.890,5.8180
2yfe,2yfe_724,2.100,6.6840
2yfe,2yfe_732,2.890,5.6110
2yfe,2yfe_737,8.300,5.6910
2yfe,2yfe_745,5.390,3.7540
2yfe,2yfe_748,6.410,5.1080
2yfe,2yfe_461,3.320,-1.1000
2yfe,2yfe_462,3.250,-2.6680
2yfe,2yfe_464,4.560,-2.3360
2yfe,2yfe_466,2.900,-4.3220
2yfe,2yfe_467,2.850,-4.1610
2yfe,2yfe_470,1.580,0.0530
2yfe,2yfe_473,5.070,-12.3530
2yfe,2yfe_487,5.060,-9.8180
2y5h,2y5h_436,1.800,-4.8420
2y5h,2y5h_441,2.270,-10.5670
2y5h,2y5h_446,5.930,-4.0730
2y5h,2y5h_449,5.870,-19.5270
2y5h,2y5h_450,3.510,-10.9080
2y5h,2y5h_463,1.510,-8.3420
2y5h,2y5h_468,4.450,-16.7400
2y5h,2y5h_481,1.730,-11.3480
2y5h,2y5h_483,1.910,-16.9910
2y5h,2y5h_487,3.630,-5.0240
2y5h,2y5h_494,5.650,-19.0830
2y5h,2y5h_498,4.820,-17.5250
2y5h,2y5h_50,2.530,2.8630
2y5h,2y5h_518,3.140,-3.8730
2y5h,2y5h_520,4.380,-4.5310
2y5h,2y5h_521,5.410,-1.7520
2y5h,2y5h_540,6.220,0.9220
2y5h,2y5h_549,2.330,-8.3260
2y5h,2y5h_554,8.260,-12.1500
2y5h,2y5h_56,1.040,4.5630
2y5h,2y5h_580,4.480,-4.4620
2y5h,2y5h_599,3.040,-8.6290
2y5h,2y5h_612,4.810,-3.5580
2y5h,2y5h_614,3.800,-15.0840
2ymd,2ymd_439,3.970,0.6750
2ymd,2ymd_456,4.030,2.0490
2ymd,2ymd_458,1.090,0.1270
2ymd,2ymd_484,1.530,-2.0790
2ymd,2ymd_486,2.570,0.3060
2ymd,2ymd_489,2.720,-7.6800
2ymd,2ymd_492,4.070,2.7300
2ymd,2ymd_496,4.490,-3.8720
2y5h,2y5h_616,0.920,-2.0850
2y5h,2y5h_620,5.440,-9.9220
2y5h,2y5h_624,3.300,-3.4110
2y5h,2y5h_630,4.600,-3.1240
2y5h,2y5h_638,4.620,-0.8690
2y5h,2y5h_641,4.550,-6.6400
2y5h,2y5h_644,3.200,-4.9420
2y5h,2y5h_646,4.920,1.5980
2y5h,2y5h_85,0.930,5.7800
2y5h,2y5h_866,3.360,4.5000
2y5h,2y5h_870,8.260,3.3550
2y5h,2y5h_885,7.190,3.5570
2y5h,2y5h_948,6.730,2.1290
2y5h,2y5h_955,6.440,5.3890
2y5h,2y5h_958,5.240,1.9260
2y5h,2y5h_973,7.220,3.0940
2ymd,2ymd_410,0.830,5.7400
2ymd,2ymd_416,1.220,-2.6660
2ymd,2ymd_426,1.120,0.7790
2ymd,2ymd_427,1.190,3.9570
2ymd,2ymd_433,0.890,4.5450
2ymd,2ymd_434,4.180,1.5570
2ymd,2ymd_435,2.380,-8.6930
2ymd,2ymd_436,1.530,2.2120
2y5h,2y5h_658,3.840,-10.3030
2y5h,2y5h_679,7.420,-5.2870
2y5h,2y5h_694,9.500,-3.8780
2y5h,2y5h_696,5.060,-5.3810
2y5h,2y5h_703,0.820,6.4470
2y5h,2y5h_705,1.930,6.1430
2y5h,2y5h_710,0.730,6.4570
2y5h,2y5h_751,7.230,2.8920
2y5h,2y5h_757,6.910,1.6610
2y5h,2y5h_762,1.480,6.6320
2y5h,2y5h_765,7.190,3.3750
2y5h,2y5h_768,6.290,4.0050
2y5h,2y5h_777,6.050,4.7220
2y5h,2y5h_795,1.000,5.9810
2y5h,2y5h_803,2.610,5.2990
2y5h,2y5h_831,6.800,3.0280
2ymd,2ymd_497,4.000,0.3590
2ymd,2ymd_510,3.950,1.6590
2ymd,2ymd_521,2.060,1.5390
2ymd,2ymd_533,3.900,-0.3700
2ymd,2ymd_539,2.380,-0.2580
2ymd,2ymd_547,4.090,1.4990
2ymd,2ymd_555,0.920,1.7710
2ymd,2ymd_557,4.770,2.3950
2ymd,2ymd_561,1.000,-0.4530
2ymd,2ymd_567,4.200,-0.7600
2ymd,2ymd_585,1.760,-0.0640
2ymd,2ymd_587,1.520,2.0420
2ymd,2ymd_588,1.290,0.1710
2ymd,2ymd_591,4.460,-5.8870
2ymd,2ymd_593,3.860,-6.2620
2ymd,2ymd_618,3.990,0.4750
2ymd,2ymd_681,3.600,-2.4730
2ymd,2ymd_687,2.620,-0.4310
2ymd,2ymd_688,5.630,-2.3240
2ymd,2ymd_694,5.110,-3.8700
2ymd,2ymd_695,4.020,-1.9090
2ymd,2ymd_773,4.380,1.1330
2ymd,2ymd_889,0.820,4.4330
2ymd,2ymd_89,0.480,5.5040
2ymd,2ymd_623,3.650,0.2150
2ymd,2ymd_626,2.660,-2.0790
2ymd,2ymd_651,3.350,0.5030
2ymd,2ymd_665,3.850,1.6780
2ymd,2ymd_670,2.520,-2.4320
2ymd,2ymd_672,1.480,1.8700
2ymd,2ymd_674,2.830,-0.6490
2ymd,2ymd_680,2.050,1.2190
2yki,2yki_893,0.940,10.7840
2yki,2yki_933,0.840,13.3890
2yki,2yki_982,2.250,6.1710
2yki,2yki_985,2.080,6.5350
2ymd,2ymd_229,0.420,5.4050
2ymd,2ymd_3,0.400,6.4410
2ymd,2ymd_403,0.780,1.3620
2ymd,2ymd_405,1.000,2.3550
2zb1,2zb1_461,2.340,0.8190
2zb1,2zb1_469,7.140,-3.2410
2zb1,2zb1_475,6.870,-0.0690
2zb1,2zb1_476,2.040,2.3480
2zb1,2zb1_479,2.060,-4.6140
2zb1,2zb1_485,1.690,4.1260
2zb1,2zb1_487,1.510,-9.2880
2zb1,2zb1_488,1.810,-3.2510
2zb1,2zb1_105,0.770,9.5010
2zb1,2zb1_16,0.600,9.9900
2zb1,2zb1_203,0.780,9.4530
2zb1,2zb1_206,0.780,8.2460
2zb1,2zb1_329,0.430,10.5640
2zb1,2zb1_423,1.250,3.4820
2zb1,2zb1_425,1.170,1.7370
2zb1,2zb1_426,1.000,6.1720
2zb1,2zb1_494,7.110,-0.8270
2zb1,2zb1_510,0.990,2.7590
2zb1,2zb1_515,2.020,1.6340
2zb1,2zb1_533,2.790,1.9200
2zb1,2zb1_541,4.260,4.0320
2zb1,2zb1_549,7.480,3.3030
2zb1,2zb1_55,0.410,10.1100
